Name,Account,Age,PhoneNumber,Email,City,Region,Country,Married,EducationLevel,Income,Average of Debit Transaction,Max of Debit Transaction,Sum of Debit Transaction,Count of Debit Transaction,Average of Credit Transaction,Max of Credit Transaction,Sum of Credit Transaction,Count of Credit Transaction,TotalOfLoan,TotalOfLoan(Outstanding),"GovStatus(Normal,Bankruptcy(current),Bankruptcy(past),PEP)",Anti bribery and corruption,Money laundering,Terrorist financing,Foreign Account Tax Compliance Act (FATCA),Fraud case
Lilah,1.63E+12,0.42,16161104-4916,Nulla@eratin.net,0.181818182,0.454545455,0.818181818,0,0,0.938143516,0.008326525,0.391457439,0.161828548,0.026780232,0.462386937,0.268215004,0.5612241,0.447510493,0.153178721,0.651866108,1,1,1,1,0,0
Sacha,1.61E+12,0.44,16700107-6855,hendrerit.neque@id.org,0.181818182,0.181818182,0.363636364,0,0,0.114217406,0.429808639,0.31419276,0.057529534,0.067004705,0.009364702,0.364645475,0.812396085,0.496291607,0.152442631,0.52422068,0.5,0,0,0,1,1
Dennis,1.62E+12,0.9,16071223-9342,sollicitudin.a.malesuada@interdumligula.co.uk,0.818181818,0.545454545,0.363636364,0,0.5,0.924734699,0.273598866,0.639325125,0.790723484,0.403747835,0.000280849,0.139913176,0.876997967,0.629355511,0.942480595,0.7655339,1,0,1,0,1,0
Channing,1.62E+12,0.28,16890426-2964,ornare.sagittis@Duis.edu,0.636363636,0.909090909,0.818181818,1,0,0.451106876,0.116140917,0.472686795,0.839181972,0.360900507,0.378859027,0.846241022,0.533845269,0.011919698,0.01383784,0.217867895,0,0,0,0,1,1
Jameson,1.67E+12,0.59,16091207-6353,morbi.tristique.senectus@tellussemmollis.net,0.272727273,0.818181818,0.818181818,0,0,0.178588747,0.05966827,0.528607146,0.89262073,0.505516889,0.443337909,0.054447814,0.130960858,0.571674733,0.184269358,0.770083422,0,0,1,1,0,0
Perry,1.68E+12,0.62,16650811-5125,iaculis.aliquet@Crasvehiculaaliquet.edu,0.909090909,0.909090909,0.090909091,0,0,0.58032321,0.530416234,0.623600825,0.440262938,0.635420787,0.209422534,0.646035025,0.22377959,0.868284377,0.156579651,0.462587649,0.5,1,1,0,0,0
Cade,1.62E+12,0.71,16060606-9482,consectetuer.rhoncus@purusgravida.ca,0.363636364,0.545454545,0.545454545,1,1,0.315406042,0.321142003,0.803615397,0.015519785,0.560784996,0.335666759,0.162975961,0.37979657,0.86748197,0.559988051,0.417262751,0,0,1,0,1,1
Roanna,1.63E+12,0.18,16700220-0876,dictum.sapien.Aenean@Nullam.ca,0.727272727,0.818181818,0.272727273,0,0,0.226337217,0.533321784,0.114936128,0.911465586,0.319970296,0.692758475,0.704846055,0.207196179,0.928674826,0.947657812,0.830690419,0,0,0,0,0,1
Dora,1.61E+12,0.42,16781224-7901,vel@nonummyacfeugiat.co.uk,0.090909091,0.545454545,0.181818182,0,0,0.750521579,0.813880012,0.303927165,0.437358252,0.013727571,0.928524475,0.919397736,0.216146354,0.265674166,0.660633679,0.188954411,0.5,0,0,1,0,1
Samson,1.63E+12,0.89,16651027-3045,cursus.luctus.ipsum@elitpellentesquea.co.uk,0.818181818,0.545454545,0.545454545,0,1,0.537096974,0.103442081,0.732026272,0.242492362,0.451875675,0.091497481,0.599811609,0.491377757,0.382507805,0.967100906,0.694227745,0.5,0,1,0,0,0
Shea,1.63E+12,0.04,16130430-1722,luctus.ipsum.leo@ascelerisque.edu,0.181818182,0.727272727,0.818181818,1,0,0.328972743,0.386099878,0.297356362,0.798308823,0.145849566,0.739476215,0.706649715,0.444387835,0.76439898,0.53534619,0.195010665,0.5,0,0,1,0,0
